url,title,title
https://www.mozilla.org/en-US/firefox/customize/,,Customize Firefox
https://www.mozilla.org/en-US/about/,,About Us
http://www.disneystore.com/toys/plush/mn/1000267/,Plush | Toys | Disney Store,Plush | Toys | Disney Store
http://southwickszoo.com/attractions/the-purple-peacock-gift-shop/,Purple Peacock Gift Shop,Purple Peacock Gift Shop
http://cmz.ordercompletion.com/a555/plush-zebra.html,Cleveland Metroparks Zoo | Plush Zebra Online Store,Cleveland Metroparks Zoo | Plush Zebra Online Store
http://globalstuffed.weebly.com/store/c1/Featured_Products.html,Featured Products - GlobalStuffed,GlobalStuffed - Animals
https://nationalzoostore.tamretail.net/BrowsePage.aspx?searchtype=navitem&NavItemID=1000031,Browse Selected Items - National Zoo Store,National Zoo Store - Plush toys
http://www.ebay.com/sch/Gund-/2598/i.html,Gund Stuffed Animals | eBay,Gund Stuffed Animals | eBay
